iwa_id,exposure,channel
4.A.1.a.1.a,0.70,INFO
4.A.1.a.1.b,0.95,INFO
4.A.1.a.1.c,0.55,INFO
4.A.1.a.1.d,0.75,INFO
4.A.1.a.1.e,0.90,INFO
4.A.1.a.1.f,0.80,INFO
4.A.1.a.1.g,0.85,INFO
4.A.1.a.1.h,0.80,INFO
4.A.1.a.1.i,0.80,INFO
4.A.1.a.1.j,0.65,INFO
4.A.1.a.1.k,0.60,INFO
4.A.1.a.1.l,0.55,INFO
4.A.1.a.1.m,0.80,INFO
4.A.1.a.1.n,0.75,INFO
4.A.1.a.1.o,0.70,INFO
4.A.1.a.1.p,0.70,INFO
4.A.1.a.1.q,0.80,INFO
4.A.1.a.1.r,0.90,INFO
4.A.1.a.1.s,0.85,INFO
4.A.1.a.1.t,0.85,INFO
4.A.1.a.1.u,0.50,INFO
4.A.1.a.1.v,0.70,INFO
4.A.1.a.1.w,0.45,SOCL
4.A.1.a.2.a,0.55,MACH
4.A.1.a.2.b,0.60,INFO
4.A.1.a.2.c,0.90,ANLY
4.A.1.a.2.d,0.55,INFO
4.A.1.a.2.e,0.40,CARE
4.A.1.a.2.f,0.45,SOCL
4.A.1.a.2.g,0.45,PHYS
4.A.1.a.2.h,0.90,INFO
4.A.1.a.2.i,0.60,INFO
4.A.1.a.2.j,0.85,TECH
4.A.1.a.2.k,0.70,ANLY
4.A.1.b.1.a,0.10,PHYS
4.A.1.b.1.b,0.75,ANLY
4.A.1.b.2.a,0.25,CARE
4.A.1.b.2.b,0.60,ANLY
4.A.1.b.2.c,0.30,PHYS
4.A.1.b.2.d,0.20,PHYS
4.A.1.b.2.e,0.20,PHYS
4.A.1.b.2.f,0.30,PHYS
4.A.1.b.2.g,0.25,PHYS
4.A.1.b.2.h,0.85,TECH
4.A.1.b.2.i,0.20,CARE
4.A.1.b.2.j,0.30,PHYS
4.A.1.b.2.k,0.30,PHYS
4.A.1.b.2.l,0.35,PHYS
4.A.1.b.3.a,0.20,PHYS
4.A.1.b.3.b,0.80,ANLY
4.A.1.b.3.c,0.95,ANLY
4.A.1.b.3.d,0.55,ANLY
4.A.1.b.3.e,0.10,CARE
4.A.2.a.1.a,0.55,SOCL
4.A.2.a.1.b,0.75,ANLY
4.A.2.a.1.c,0.60,SOCL
4.A.2.a.1.d,0.50,MGMT
4.A.2.a.1.e,0.50,PHYS
4.A.2.a.1.f,0.50,CARE
4.A.2.a.1.g,0.65,ANLY
4.A.2.a.1.h,0.75,ANLY
4.A.2.a.1.i,0.70,ANLY
4.A.2.a.1.j,0.75,ANLY
4.A.2.a.2.a,0.90,ANLY
4.A.2.a.2.b,0.15,PHYS
4.A.2.a.2.c,0.95,INFO
4.A.2.a.2.d,0.95,ANLY
4.A.2.a.2.e,0.85,INFO
4.A.2.a.3.a,0.85,ANLY
4.A.2.a.3.b,0.60,ANLY
4.A.2.a.3.c,0.85,ANLY
4.A.2.a.3.d,0.15,CARE
4.A.2.a.4.a,0.85,ANLY
4.A.2.a.4.b,0.90,ANLY
4.A.2.a.4.c,0.90,ANLY
4.A.2.a.4.d,0.85,ANLY
