soc6,task_exposure,title,AIOE,lm_aioe,task_z,aioe_z,ensemble_z,task_rank,aioe_rank,rank_gap
13-2041,0.8432,Credit Analysts,1.3453,1.0925,1.827,1.3529,1.5899,3,61,-58
43-9111,0.8271,Statistical Assistants,1.39,1.053,1.7507,1.3972,1.5739,7,32,-25
13-2031,0.7973,Budget Analysts,1.503,1.3,1.6094,1.5091,1.5593,11,5,6
31-9094,0.8893,Medical Transcriptionists,1.0626,1.1962,2.0455,1.0728,1.5591,1,154,-153
23-2093,0.8437,"Title Examiners, Abstractors, and Searchers",1.28,1.3842,1.8294,1.2881,1.5587,2,101,-99
13-2082,0.8359,Tax Preparers,1.2937,1.1437,1.7924,1.3018,1.5471,5,93,-88
15-2021,0.7953,Mathematicians,1.4723,1.1662,1.5999,1.4788,1.5393,12,9,3
13-2011,0.7877,Accountants and Auditors,1.482,1.214,1.5639,1.4883,1.5261,15,8,7
27-3042,0.8357,Technical Writers,1.184,1.3166,1.7914,1.1931,1.4923,6,127,-121
43-3051,0.8178,Payroll and Timekeeping Clerks,1.2576,1.1555,1.7066,1.266,1.4863,9,109,-100
43-4131,0.7899,Loan Interviewers and Clerks,1.3644,1.2742,1.5743,1.3718,1.4731,14,46,-32
15-2041,0.7764,Statisticians,1.3827,1.2433,1.5106,1.39,1.4503,20,37,-17
43-3031,0.8418,"Bookkeeping, Accounting, and Auditing Clerks",1.0397,0.8181,1.8203,1.0501,1.4352,4,161,-157
13-2071,0.7677,Credit Counselors,1.3854,1.3553,1.4691,1.3926,1.4309,24,36,-12
23-2011,0.7867,Paralegals and Legal Assistants,1.2921,1.3327,1.5592,1.3001,1.4297,16,94,-78
43-4041,0.7552,"Credit Authorizers, Checkers, and Clerks",1.4403,1.5456,1.4099,1.447,1.4284,31,14,17
13-1111,0.7532,Management Analysts,1.4324,1.5476,1.4004,1.4392,1.4198,32,18,14
23-1012,0.7459,Judicial Law Clerks,1.463,1.5126,1.3658,1.4695,1.4176,40,10,30
13-2072,0.7614,Loan Officers,1.3857,1.4775,1.4393,1.393,1.4161,27,35,-8
43-9041,0.7918,Insurance Claims and Policy Processing Clerks,1.2402,1.2572,1.5833,1.2488,1.4161,13,113,-100
13-1051,0.7607,Cost Estimators,1.3677,1.1341,1.4359,1.3751,1.4055,28,43,-15
15-2031,0.7524,Operations Research Analysts,1.4,1.2336,1.3966,1.4071,1.4019,34,30,4
43-9081,0.7756,Proofreaders and Copy Markers,1.2884,1.4362,1.5066,1.2965,1.4015,21,95,-74
13-2051,0.751,Financial and Investment Analysts,1.3806,1.2728,1.39,1.3879,1.3889,36,38,-2
13-1161,0.7375,Market Research Analysts and Marketing Specialists,1.4268,1.3563,1.3262,1.4336,1.3799,48,20,28
13-2099,0.7405,Financial Quantitative Analysts,1.3614,1.2526,1.3402,1.3688,1.3545,43,48,-5
19-3094,0.728,Political Scientists,1.4189,1.6865,1.2809,1.4258,1.3534,53,23,30
13-1141,0.7224,"Compensation, Benefits, and Job Analysis Specialists",1.441,1.3618,1.2544,1.4477,1.3511,58,13,45
13-1023,0.7078,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",1.5092,1.4957,1.1852,1.5153,1.3502,68,4,64
13-2081,0.7333,"Tax Examiners and Collectors, and Revenue Agents",1.3668,1.2532,1.3061,1.3742,1.3401,51,45,6
43-3061,0.7076,Procurement Clerks,1.4878,1.5899,1.1842,1.4941,1.3392,69,7,62
13-2053,0.7404,Insurance Underwriters,1.3267,1.262,1.3397,1.3344,1.3371,44,78,-34
41-9041,0.7839,Telemarketers,1.1181,1.9256,1.5459,1.1278,1.3369,17,147,-130
19-3011,0.7224,Environmental Economists,1.4038,1.3301,1.2546,1.4108,1.3327,57,27,30
11-3061,0.7156,Purchasing Managers,1.4234,1.3931,1.2222,1.4303,1.3262,63,22,41
43-3021,0.734,Billing and Posting Clerks,1.3335,1.1357,1.3094,1.3412,1.3253,49,74,-25
19-3022,0.7127,Survey Researchers,1.4265,1.2785,1.2084,1.4334,1.3209,66,21,45
13-2061,0.6916,Financial Examiners,1.5261,1.3576,1.1084,1.532,1.3202,95,2,93
27-3091,0.7771,Interpreters and Translators,1.1113,1.352,1.5137,1.1211,1.3174,19,148,-129
43-4021,0.7678,Correspondence Clerks,1.1498,1.1842,1.4696,1.1591,1.3144,23,134,-111
41-3011,0.7633,Advertising Sales Agents,1.1626,1.1221,1.4483,1.1719,1.3101,25,131,-106
19-4061,0.753,Social Science Research Assistants,1.2047,1.1259,1.3994,1.2135,1.3065,33,123,-90
13-1081,0.7316,Logistics Engineers,1.2973,1.0814,1.298,1.3053,1.3017,52,90,-38
19-2012,0.7198,Physicists,1.3457,1.0966,1.2421,1.3533,1.2977,60,60,0
11-3031,0.6979,Investment Fund Managers,1.4462,1.2946,1.1381,1.4529,1.2955,82,12,70
43-4061,0.7432,"Eligibility Interviewers, Government Programs",1.2263,1.4167,1.353,1.235,1.294,42,117,-75
43-4161,0.7136,"Human Resources Assistants, Except Payroll and Timekeeping",1.3531,1.4807,1.2127,1.3606,1.2867,65,51,14
27-3041,0.7604,Editors,1.1282,1.1906,1.4345,1.1378,1.2862,29,143,-114
41-3041,0.7588,Travel Agents,1.1336,1.2784,1.4269,1.1431,1.285,30,142,-112
19-3099,0.7181,Transportation Planners,1.328,1.0848,1.234,1.3358,1.2849,62,76,-14
43-4031,0.751,"Court, Municipal, and License Clerks",1.1663,1.3362,1.39,1.1755,1.2827,36,129,-93
25-1082,0.7029,"Library Science Teachers, Postsecondary",1.3863,1.6264,1.162,1.3935,1.2777,75,34,41
25-1125,0.6914,"History Teachers, Postsecondary",1.4375,1.8134,1.1075,1.4442,1.2759,96,15,81
13-2052,0.699,Personal Financial Advisors,1.4007,1.3957,1.1435,1.4078,1.2757,80,29,51
43-4011,0.7504,Brokerage Clerks,1.1449,1.0264,1.3871,1.1543,1.2707,38,138,-100
27-3043,0.7828,"Poets, Lyricists and Creative Writers",0.9879,1.1701,1.5407,0.9988,1.2697,18,178,-160
41-3031,0.7238,"Securities, Commodities, and Financial Services Sales Agents",1.2563,1.2599,1.261,1.2647,1.2629,56,110,-54
19-3041,0.6901,Sociologists,1.4111,1.7475,1.1013,1.4181,1.2597,98,25,73
17-2011,0.7044,Aerospace Engineers,1.3387,1.1168,1.1691,1.3464,1.2577,70,67,3
25-1126,0.6957,"Philosophy and Religion Teachers, Postsecondary",1.3635,1.7999,1.1278,1.3709,1.2494,89,47,42
29-9092,0.6595,Genetic Counselors,1.5277,1.4776,0.9563,1.5336,1.2449,163,1,162
25-1111,0.6876,"Criminal Justice and Law Enforcement Teachers, Postsecondary",1.39,1.7541,1.0894,1.3972,1.2433,108,31,77
17-2041,0.6973,Chemical Engineers,1.3413,0.906,1.1354,1.349,1.2422,84,65,19
41-3021,0.6968,Insurance Sales Agents,1.3413,1.4269,1.1331,1.3489,1.241,85,66,19
25-1123,0.6802,"English Language and Literature Teachers, Postsecondary",1.4178,1.8569,1.0544,1.4248,1.2396,122,24,98
15-2011,0.6558,Actuaries,1.5165,1.1996,0.9387,1.5225,1.2306,169,3,166
25-1065,0.6865,"Political Science Teachers, Postsecondary",1.3684,1.7696,1.0842,1.3758,1.23,110,42,68
25-1112,0.6884,"Law Teachers, Postsecondary",1.3564,1.8019,1.0932,1.3639,1.2286,101,50,51
19-1041,0.6715,Epidemiologists,1.4363,1.2842,1.0131,1.443,1.2281,142,17,125
25-1122,0.6879,"Communications Teachers, Postsecondary",1.3474,1.7017,1.0909,1.355,1.2229,105,57,48
11-9121,0.6918,Water Resource Specialists,1.3279,1.2413,1.1092,1.3357,1.2224,94,77,17
11-3111,0.6975,Compensation and Benefits Managers,1.2982,1.4667,1.1364,1.3063,1.2213,83,89,-6
25-1124,0.6882,"Foreign Language and Literature Teachers, Postsecondary",1.3341,1.8139,1.0923,1.3418,1.2171,103,71,32
25-1062,0.6933,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",1.3087,1.6688,1.1165,1.3166,1.2165,92,85,7
25-1063,0.6901,"Economics Teachers, Postsecondary",1.319,1.4619,1.1013,1.3268,1.2141,98,81,17
11-2021,0.6899,Marketing Managers,1.315,1.2038,1.1003,1.3229,1.2116,100,84,16
25-1022,0.6848,"Mathematical Science Teachers, Postsecondary",1.3387,1.4069,1.0762,1.3463,1.2113,113,68,45
41-9031,0.7248,Sales Engineers,1.1454,1.0259,1.2658,1.1548,1.2103,55,137,-82
25-1032,0.681,"Engineering Teachers, Postsecondary",1.3511,1.3372,1.0582,1.3587,1.2084,119,52,67
13-1071,0.6787,Human Resources Specialists,1.36,1.5575,1.0473,1.3675,1.2074,126,49,77
19-2021,0.6737,Atmospheric and Space Scientists,1.3739,1.2595,1.0236,1.3812,1.2024,135,40,95
25-1011,0.6783,"Business Teachers, Postsecondary",1.3493,1.6182,1.0454,1.3569,1.2011,127,53,74
23-1021,0.6702,"Administrative Law Judges, Adjudicators, and Hearing Officers",1.3747,1.5471,1.007,1.382,1.1945,146,39,107
13-1199,0.7379,Business Continuity Planners,1.0477,0.925,1.3277,1.058,1.1929,47,157,-110
27-3031,0.6882,Public Relations Specialists,1.2849,1.5176,1.0923,1.2931,1.1927,103,97,6
25-1067,0.6744,"Sociology Teachers, Postsecondary",1.3492,1.7705,1.0269,1.3568,1.1918,134,54,80
25-1061,0.6794,"Anthropology and Archeology Teachers, Postsecondary",1.3217,1.5343,1.0506,1.3295,1.19,124,79,45
25-1053,0.6734,"Environmental Science Teachers, Postsecondary",1.3475,1.6033,1.0221,1.3551,1.1886,136,56,80
25-9031,0.681,Instructional Coordinators,1.3019,1.3238,1.0582,1.3098,1.184,119,88,31
25-1064,0.6773,"Geography Teachers, Postsecondary",1.3189,1.6285,1.0406,1.3267,1.1837,130,82,48
11-2011,0.6819,Advertising and Promotions Managers,1.2944,1.2172,1.0624,1.3024,1.1824,117,92,25
43-5011,0.6549,Freight Forwarders,1.4054,1.2545,0.9345,1.4125,1.1735,170,26,144
43-4051,0.7483,Customer Service Representatives,0.9563,1.0759,1.3772,0.9674,1.1723,39,184,-145
41-1012,0.673,First-Line Supervisors of Non-Retail Sales Workers,1.3162,1.2586,1.0202,1.3241,1.1721,139,83,56
11-1011,0.669,Chief Sustainability Officers,1.3342,1.3089,1.0015,1.3419,1.1717,147,70,77
25-1031,0.6908,"Architecture Teachers, Postsecondary",1.222,1.2463,1.1046,1.2307,1.1677,97,118,-21
