iwa_id,GWA Element Name,exposure,gwa_aioe,hybrid,channel
4.A.1.a.1.a,Getting Information,0.7,0.5508,0.6254,INFO
4.A.1.a.1.b,Getting Information,0.95,0.5508,0.7504,INFO
4.A.1.a.1.c,Getting Information,0.55,0.5508,0.5504,INFO
4.A.1.a.1.d,Getting Information,0.75,0.5508,0.6504,INFO
4.A.1.a.1.e,Getting Information,0.9,0.5508,0.7254,INFO
4.A.1.a.1.f,Getting Information,0.8,0.5508,0.6754,INFO
4.A.1.a.1.g,Getting Information,0.85,0.5508,0.7004,INFO
4.A.1.a.1.h,Getting Information,0.8,0.5508,0.6754,INFO
4.A.1.a.1.i,Getting Information,0.8,0.5508,0.6754,INFO
4.A.1.a.1.j,Getting Information,0.65,0.5508,0.6004,INFO
4.A.1.a.1.k,Getting Information,0.6,0.5508,0.5754,INFO
4.A.1.a.1.l,Getting Information,0.55,0.5508,0.5504,INFO
4.A.1.a.1.m,Getting Information,0.8,0.5508,0.6754,INFO
4.A.1.a.1.n,Getting Information,0.75,0.5508,0.6504,INFO
4.A.1.a.1.o,Getting Information,0.7,0.5508,0.6254,INFO
4.A.1.a.1.p,Getting Information,0.7,0.5508,0.6254,INFO
4.A.1.a.1.q,Getting Information,0.8,0.5508,0.6754,INFO
4.A.1.a.1.r,Getting Information,0.9,0.5508,0.7254,INFO
4.A.1.a.1.s,Getting Information,0.85,0.5508,0.7004,INFO
4.A.1.a.1.t,Getting Information,0.85,0.5508,0.7004,INFO
4.A.1.a.1.u,Getting Information,0.5,0.5508,0.5254,INFO
4.A.1.a.1.v,Getting Information,0.7,0.5508,0.6254,INFO
4.A.1.a.1.w,Getting Information,0.45,0.5508,0.5004,SOCL
4.A.1.a.2.a,"Monitoring Processes, Materials, or Surroundings",0.55,0.6048,0.5774,MACH
4.A.1.a.2.b,"Monitoring Processes, Materials, or Surroundings",0.6,0.6048,0.6024,INFO
4.A.1.a.2.c,"Monitoring Processes, Materials, or Surroundings",0.9,0.6048,0.7524,ANLY
4.A.1.a.2.d,"Monitoring Processes, Materials, or Surroundings",0.55,0.6048,0.5774,INFO
4.A.1.a.2.e,"Monitoring Processes, Materials, or Surroundings",0.4,0.6048,0.5024,CARE
4.A.1.a.2.f,"Monitoring Processes, Materials, or Surroundings",0.45,0.6048,0.5274,SOCL
4.A.1.a.2.g,"Monitoring Processes, Materials, or Surroundings",0.45,0.6048,0.5274,PHYS
4.A.1.a.2.h,"Monitoring Processes, Materials, or Surroundings",0.9,0.6048,0.7524,INFO
4.A.1.a.2.i,"Monitoring Processes, Materials, or Surroundings",0.6,0.6048,0.6024,INFO
4.A.1.a.2.j,"Monitoring Processes, Materials, or Surroundings",0.85,0.6048,0.7274,TECH
4.A.1.a.2.k,"Monitoring Processes, Materials, or Surroundings",0.7,0.6048,0.6524,ANLY
4.A.1.b.1.a,"Identifying Objects, Actions, and Events",0.1,0.6094,0.3547,PHYS
4.A.1.b.1.b,"Identifying Objects, Actions, and Events",0.75,0.6094,0.6797,ANLY
4.A.1.b.2.a,"Inspecting Equipment, Structures, or Materials",0.25,0.5315,0.3908,CARE
4.A.1.b.2.b,"Inspecting Equipment, Structures, or Materials",0.6,0.5315,0.5658,ANLY
4.A.1.b.2.c,"Inspecting Equipment, Structures, or Materials",0.3,0.5315,0.4158,PHYS
4.A.1.b.2.d,"Inspecting Equipment, Structures, or Materials",0.2,0.5315,0.3658,PHYS
4.A.1.b.2.e,"Inspecting Equipment, Structures, or Materials",0.2,0.5315,0.3658,PHYS
4.A.1.b.2.f,"Inspecting Equipment, Structures, or Materials",0.3,0.5315,0.4158,PHYS
4.A.1.b.2.g,"Inspecting Equipment, Structures, or Materials",0.25,0.5315,0.3908,PHYS
4.A.1.b.2.h,"Inspecting Equipment, Structures, or Materials",0.85,0.5315,0.6908,TECH
4.A.1.b.2.i,"Inspecting Equipment, Structures, or Materials",0.2,0.5315,0.3658,CARE
4.A.1.b.2.j,"Inspecting Equipment, Structures, or Materials",0.3,0.5315,0.4158,PHYS
4.A.1.b.2.k,"Inspecting Equipment, Structures, or Materials",0.3,0.5315,0.4158,PHYS
4.A.1.b.2.l,"Inspecting Equipment, Structures, or Materials",0.35,0.5315,0.4408,PHYS
4.A.1.b.3.a,"Estimating the Quantifiable Characteristics of Products, Events, or Information",0.2,0.5431,0.3716,PHYS
4.A.1.b.3.b,"Estimating the Quantifiable Characteristics of Products, Events, or Information",0.8,0.5431,0.6716,ANLY
4.A.1.b.3.c,"Estimating the Quantifiable Characteristics of Products, Events, or Information",0.95,0.5431,0.7466,ANLY
4.A.1.b.3.d,"Estimating the Quantifiable Characteristics of Products, Events, or Information",0.55,0.5431,0.5466,ANLY
4.A.1.b.3.e,"Estimating the Quantifiable Characteristics of Products, Events, or Information",0.1,0.5431,0.3216,CARE
4.A.2.a.1.a,"Judging the Qualities of Objects, Services, or People",0.55,0.5945,0.5722,SOCL
4.A.2.a.1.b,"Judging the Qualities of Objects, Services, or People",0.75,0.5945,0.6722,ANLY
4.A.2.a.1.c,"Judging the Qualities of Objects, Services, or People",0.6,0.5945,0.5972,SOCL
4.A.2.a.1.d,"Judging the Qualities of Objects, Services, or People",0.5,0.5945,0.5472,MGMT
4.A.2.a.1.e,"Judging the Qualities of Objects, Services, or People",0.5,0.5945,0.5472,PHYS
4.A.2.a.1.f,"Judging the Qualities of Objects, Services, or People",0.5,0.5945,0.5472,CARE
4.A.2.a.1.g,"Judging the Qualities of Objects, Services, or People",0.65,0.5945,0.6222,ANLY
4.A.2.a.1.h,"Judging the Qualities of Objects, Services, or People",0.75,0.5945,0.6722,ANLY
4.A.2.a.1.i,"Judging the Qualities of Objects, Services, or People",0.7,0.5945,0.6472,ANLY
4.A.2.a.1.j,"Judging the Qualities of Objects, Services, or People",0.75,0.5945,0.6722,ANLY
4.A.2.a.2.a,Processing Information,0.9,0.6602,0.7801,ANLY
4.A.2.a.2.b,Processing Information,0.15,0.6602,0.4051,PHYS
4.A.2.a.2.c,Processing Information,0.95,0.6602,0.8051,INFO
4.A.2.a.2.d,Processing Information,0.95,0.6602,0.8051,ANLY
4.A.2.a.2.e,Processing Information,0.85,0.6602,0.7551,INFO
4.A.2.a.3.a,Evaluating Information to Determine Compliance with Standards,0.85,0.6201,0.735,ANLY
4.A.2.a.3.b,Evaluating Information to Determine Compliance with Standards,0.6,0.6201,0.61,ANLY
4.A.2.a.3.c,Evaluating Information to Determine Compliance with Standards,0.85,0.6201,0.735,ANLY
4.A.2.a.3.d,Evaluating Information to Determine Compliance with Standards,0.15,0.6201,0.385,CARE
4.A.2.a.4.a,Analyzing Data or Information,0.85,0.7645,0.8072,ANLY
4.A.2.a.4.b,Analyzing Data or Information,0.9,0.7645,0.8322,ANLY
4.A.2.a.4.c,Analyzing Data or Information,0.9,0.7645,0.8322,ANLY
