O*NET-SOC Code,Title,hybrid_exposure,original_exposure,delta,hybrid_pctile,original_pctile
13-2041.00,Credit Analysts,0.7547,0.8432,-0.0885,1.0,0.998
43-9111.00,Statistical Assistants,0.7399,0.8271,-0.0872,0.999,0.991
13-2054.00,Financial Risk Specialists,0.7359,0.8225,-0.0866,0.998,0.99
13-1081.01,Logistics Engineers,0.7353,0.802,-0.0667,0.997,0.982
15-2051.01,Business Intelligence Analysts,0.7348,0.8313,-0.0965,0.996,0.993
15-2051.00,Data Scientists,0.7338,0.8031,-0.0693,0.995,0.983
43-3071.00,Tellers,0.727,0.8204,-0.0934,0.993,0.989
31-9094.00,Medical Transcriptionists,0.7267,0.8893,-0.1626,0.992,1.0
13-2099.01,Financial Quantitative Analysts,0.7216,0.8008,-0.0792,0.991,0.98
13-2031.00,Budget Analysts,0.7213,0.7973,-0.076,0.99,0.978
15-2021.00,Mathematicians,0.7213,0.7953,-0.074,0.989,0.977
13-2082.00,Tax Preparers,0.7166,0.8359,-0.1193,0.988,0.996
43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks",0.7156,0.8418,-0.1262,0.987,0.997
43-9031.00,Desktop Publishers,0.713,0.8041,-0.0911,0.986,0.984
43-3051.00,Payroll and Timekeeping Clerks,0.7119,0.8178,-0.1059,0.985,0.988
13-1081.02,Logistics Analysts,0.71,0.7896,-0.0796,0.984,0.971
27-3042.00,Technical Writers,0.7082,0.8357,-0.1275,0.983,0.995
15-1243.01,Data Warehousing Specialists,0.7081,0.828,-0.1199,0.982,0.992
15-1242.00,Database Administrators,0.7068,0.8044,-0.0976,0.98,0.985
15-2041.00,Statisticians,0.7068,0.7826,-0.0758,0.979,0.963
13-2053.00,Insurance Underwriters,0.7064,0.7404,-0.034,0.978,0.911
43-9041.00,Insurance Claims and Policy Processing Clerks,0.705,0.7918,-0.0868,0.977,0.974
23-2093.00,"Title Examiners, Abstractors, and Searchers",0.7043,0.8437,-0.1394,0.976,0.999
15-1254.00,Web Developers,0.7035,0.8061,-0.1026,0.975,0.986
29-2072.00,Medical Records Specialists,0.7032,0.8147,-0.1115,0.974,0.987
15-2041.01,Biostatisticians,0.7021,0.7703,-0.0682,0.973,0.951
43-5011.01,Freight Forwarders,0.7004,0.7761,-0.0757,0.972,0.959
15-1299.02,Geographic Information Systems Technologists and Technicians,0.699,0.7945,-0.0955,0.971,0.976
15-1299.03,Document Management Specialists,0.6983,0.8003,-0.102,0.97,0.979
13-2051.00,Financial and Investment Analysts,0.6977,0.751,-0.0533,0.969,0.923
13-2011.00,Accountants and Auditors,0.6975,0.7877,-0.0902,0.967,0.969
43-4131.00,Loan Interviewers and Clerks,0.6972,0.7899,-0.0927,0.966,0.972
19-2042.00,"Geoscientists, Except Hydrologists and Geographers",0.6966,0.7627,-0.0661,0.965,0.943
13-1161.00,Market Research Analysts and Marketing Specialists,0.6959,0.7702,-0.0743,0.964,0.95
13-1199.04,Business Continuity Planners,0.6954,0.7851,-0.0897,0.963,0.965
