soc6,title,original,AIOE,narrow,broad
13-2041,Credit Analysts,0.8432,1.3453,0.8432,0.8432
43-9111,Statistical Assistants,0.8271,1.39,0.8271,0.8271
13-2031,Budget Analysts,0.7973,1.503,0.7973,0.7973
31-9094,Medical Transcriptionists,0.8893,1.0626,0.8893,0.8893
23-2093,"Title Examiners, Abstractors, and Searchers",0.8437,1.28,0.8437,0.8437
13-2082,Tax Preparers,0.8359,1.2937,0.8359,0.8359
15-2021,Mathematicians,0.7953,1.4723,0.7953,0.7953
13-2011,Accountants and Auditors,0.7877,1.482,0.7877,0.7877
27-3042,Technical Writers,0.8357,1.184,0.8357,0.8357
43-3051,Payroll and Timekeeping Clerks,0.8178,1.2576,0.8178,0.8178
43-4131,Loan Interviewers and Clerks,0.7899,1.3644,0.7899,0.7899
15-2041,Statisticians,0.7764,1.3827,0.7764,0.7764
43-3031,"Bookkeeping, Accounting, and Auditing Clerks",0.8418,1.0397,0.8418,0.8202
13-2071,Credit Counselors,0.7677,1.3854,0.7677,0.7677
23-2011,Paralegals and Legal Assistants,0.7867,1.2921,0.7867,0.7867
43-4041,"Credit Authorizers, Checkers, and Clerks",0.7552,1.4403,0.7552,0.7552
13-1111,Management Analysts,0.7532,1.4324,0.7532,0.7532
23-1012,Judicial Law Clerks,0.7459,1.463,0.7459,0.7459
13-2072,Loan Officers,0.7614,1.3857,0.7614,0.7614
43-9041,Insurance Claims and Policy Processing Clerks,0.7918,1.2402,0.7918,0.7918
13-1051,Cost Estimators,0.7607,1.3677,0.7607,0.7607
15-2031,Operations Research Analysts,0.7524,1.4,0.7524,0.7524
43-9081,Proofreaders and Copy Markers,0.7756,1.2884,0.7756,0.7756
13-2051,Financial and Investment Analysts,0.751,1.3806,0.751,0.751
13-1161,Market Research Analysts and Marketing Specialists,0.7375,1.4268,0.7375,0.7375
13-2099,Financial Quantitative Analysts,0.7405,1.3614,0.7389,0.7389
19-3094,Political Scientists,0.728,1.4189,0.728,0.728
13-1141,"Compensation, Benefits, and Job Analysis Specialists",0.7224,1.441,0.7224,0.7224
13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",0.7078,1.5092,0.7078,0.7078
13-2081,"Tax Examiners and Collectors, and Revenue Agents",0.7333,1.3668,0.7333,0.7333
43-3061,Procurement Clerks,0.7076,1.4878,0.7076,0.7076
13-2053,Insurance Underwriters,0.7404,1.3267,0.7404,0.7404
41-9041,Telemarketers,0.7839,1.1181,0.7839,0.7839
19-3011,Environmental Economists,0.7224,1.4038,0.7081,0.7081
11-3061,Purchasing Managers,0.7156,1.4234,0.7156,0.7156
43-3021,Billing and Posting Clerks,0.734,1.3335,0.734,0.7009
19-3022,Survey Researchers,0.7127,1.4265,0.7127,0.7127
13-2061,Financial Examiners,0.6916,1.5261,0.6916,0.6916
27-3091,Interpreters and Translators,0.7771,1.1113,0.7493,0.7493
43-4021,Correspondence Clerks,0.7678,1.1498,0.7654,0.7654
41-3011,Advertising Sales Agents,0.7633,1.1626,0.7457,0.7457
19-4061,Social Science Research Assistants,0.753,1.2047,0.753,0.753
13-1081,Logistics Engineers,0.7316,1.2973,0.7316,0.7316
19-2012,Physicists,0.7198,1.3457,0.7198,0.7104
11-3031,Investment Fund Managers,0.6979,1.4462,0.6979,0.6979
43-4061,"Eligibility Interviewers, Government Programs",0.7432,1.2263,0.7432,0.7432
43-4161,"Human Resources Assistants, Except Payroll and Timekeeping",0.7136,1.3531,0.7109,0.7109
27-3041,Editors,0.7604,1.1282,0.7604,0.7604
41-3041,Travel Agents,0.7588,1.1336,0.7588,0.7588
19-3099,Transportation Planners,0.7181,1.328,0.7181,0.7181
43-4031,"Court, Municipal, and License Clerks",0.751,1.1663,0.751,0.751
25-1082,"Library Science Teachers, Postsecondary",0.7029,1.3863,0.7029,0.7029
25-1125,"History Teachers, Postsecondary",0.6914,1.4375,0.6914,0.6914
13-2052,Personal Financial Advisors,0.699,1.4007,0.699,0.699
43-4011,Brokerage Clerks,0.7504,1.1449,0.7504,0.7504
