O*NET-SOC Code,Title,original,narrow,narrow_weight_share,narrow_delta,broad,broad_weight_share,broad_delta,soc6
31-9094.00,Medical Transcriptionists,0.8893,0.8893,0.0,0.0,0.8893,0.0,0.0,31-9094
23-2093.00,"Title Examiners, Abstractors, and Searchers",0.8437,0.8437,0.0,0.0,0.8437,0.0,0.0,23-2093
13-2041.00,Credit Analysts,0.8432,0.8432,0.0,0.0,0.8432,0.0,0.0,13-2041
43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks",0.8418,0.8418,0.0,0.0,0.8202,0.05412325423738713,-0.021599999999999953,43-3031
13-2082.00,Tax Preparers,0.8359,0.8359,0.0,0.0,0.8359,0.0,0.0,13-2082
27-3042.00,Technical Writers,0.8357,0.8357,0.0,0.0,0.8357,0.0,0.0,27-3042
15-2051.01,Business Intelligence Analysts,0.8313,0.8313,0.0,0.0,0.8313,0.0,0.0,15-2051
15-1243.01,Data Warehousing Specialists,0.828,0.828,0.0,0.0,0.828,0.0,0.0,15-1243
43-9111.00,Statistical Assistants,0.8271,0.8271,0.0,0.0,0.8271,0.0,0.0,43-9111
13-2054.00,Financial Risk Specialists,0.8225,0.8225,0.0,0.0,0.8225,0.0,0.0,13-2054
43-3071.00,Tellers,0.8204,0.8204,0.0,0.0,0.8204,0.0,0.0,43-3071
43-3051.00,Payroll and Timekeeping Clerks,0.8178,0.8178,0.0,0.0,0.8178,0.0,0.0,43-3051
29-2072.00,Medical Records Specialists,0.8147,0.8059,0.058823529411764705,-0.00880000000000003,0.8059,0.058823529411764705,-0.00880000000000003,29-2072
15-1254.00,Web Developers,0.8061,0.8061,0.0,0.0,0.8061,0.0,0.0,15-1254
15-1242.00,Database Administrators,0.8044,0.8044,0.0,0.0,0.8044,0.0,0.0,15-1242
43-9031.00,Desktop Publishers,0.8041,0.7966,0.07448475369601504,-0.007500000000000062,0.7966,0.07448475369601504,-0.007500000000000062,43-9031
15-2051.00,Data Scientists,0.8031,0.8031,0.0,0.0,0.8031,0.0,0.0,15-2051
13-1081.01,Logistics Engineers,0.802,0.802,0.0,0.0,0.802,0.0,0.0,13-1081
13-2099.01,Financial Quantitative Analysts,0.8008,0.8008,0.0,0.0,0.8008,0.0,0.0,13-2099
15-1299.03,Document Management Specialists,0.8003,0.8003,0.0,0.0,0.8003,0.0,0.0,15-1299
13-2031.00,Budget Analysts,0.7973,0.7973,0.0,0.0,0.7973,0.0,0.0,13-2031
15-2021.00,Mathematicians,0.7953,0.7953,0.0,0.0,0.7953,0.0,0.0,15-2021
15-1299.02,Geographic Information Systems Technologists and Technicians,0.7945,0.7945,0.0,0.0,0.7945,0.0,0.0,15-1299
15-1253.00,Software Quality Assurance Analysts and Testers,0.7927,0.7927,0.0,0.0,0.7927,0.0,0.0,15-1253
43-9041.00,Insurance Claims and Policy Processing Clerks,0.7918,0.7918,0.0,0.0,0.7918,0.0,0.0,43-9041
15-1255.00,Web and Digital Interface Designers,0.7903,0.7903,0.0,0.0,0.7903,0.0,0.0,15-1255
43-4131.00,Loan Interviewers and Clerks,0.7899,0.7899,0.0,0.0,0.7899,0.0,0.0,43-4131
13-1081.02,Logistics Analysts,0.7896,0.7896,0.0,0.0,0.7896,0.0,0.0,13-1081
15-1243.00,Database Architects,0.7886,0.7886,0.0,0.0,0.7886,0.0,0.0,15-1243
13-2011.00,Accountants and Auditors,0.7877,0.7877,0.0,0.0,0.7877,0.0,0.0,13-2011
23-2011.00,Paralegals and Legal Assistants,0.7867,0.7867,0.0,0.0,0.7867,0.0,0.0,23-2011
27-3043.05,"Poets, Lyricists and Creative Writers",0.7854,0.7854,0.0,0.0,0.7854,0.0,0.0,27-3043
13-1199.04,Business Continuity Planners,0.7851,0.7851,0.0,0.0,0.7851,0.0,0.0,13-1199
41-9041.00,Telemarketers,0.7839,0.7839,0.0,0.0,0.7839,0.0,0.0,41-9041
15-2041.00,Statisticians,0.7826,0.7826,0.0,0.0,0.7826,0.0,0.0,15-2041
27-3043.00,Writers and Authors,0.7802,0.7802,0.0,0.0,0.7802,0.0,0.0,27-3043
27-3092.00,Court Reporters and Simultaneous Captioners,0.7802,0.7802,0.0,0.0,0.7802,0.0,0.0,27-3092
27-3091.00,Interpreters and Translators,0.7771,0.7493,0.0926680039109355,-0.027800000000000047,0.7493,0.0926680039109355,-0.027800000000000047,27-3091
43-5011.01,Freight Forwarders,0.7761,0.7761,0.0,0.0,0.7761,0.0,0.0,43-5011
43-9081.00,Proofreaders and Copy Markers,0.7756,0.7756,0.0,0.0,0.7756,0.0,0.0,43-9081
13-1199.06,Online Merchants,0.7753,0.7753,0.0,0.0,0.7753,0.0,0.0,13-1199
41-2012.00,Gambling Change Persons and Booth Cashiers,0.7745,0.7721,0.048612744180109184,-0.0023999999999999577,0.7721,0.048612744180109184,-0.0023999999999999577,41-2012
13-2023.00,Appraisers and Assessors of Real Estate,0.7734,0.7734,0.0,0.0,0.7734,0.0,0.0,13-2023
