O*NET-SOC Code,Title,exposure,n_tasks,share_high,share_low,wshare_ANLY,wshare_CARE,wshare_CRTV,wshare_INFO,wshare_MACH,wshare_MGMT,wshare_PHYS,wshare_SOCL,wshare_TECH,exposure_pctile
31-9094.00,Medical Transcriptionists,0.8893,15,0.9588,0.0,0.0,0.0412,0.0,0.9588,0.0,0.0,0.0,0.0,0.0,1.0
23-2093.00,"Title Examiners, Abstractors, and Searchers",0.8437,16,0.8843,0.0,0.0706,0.0,0.0,0.7566,0.0,0.0489,0.0,0.0668,0.0572,0.999
13-2041.00,Credit Analysts,0.8432,11,0.9119,0.0,0.612,0.0,0.0,0.2712,0.0,0.0501,0.0,0.0666,0.0,0.998
43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks",0.8418,28,0.9036,0.0,0.4774,0.0,0.0,0.3433,0.0541,0.0,0.0,0.0,0.1251,0.997
13-2082.00,Tax Preparers,0.8359,12,0.911,0.0,0.5069,0.0,0.0818,0.1513,0.0,0.0,0.0,0.26,0.0,0.996
27-3042.00,Technical Writers,0.8357,15,0.8828,0.0,0.0,0.0,0.195,0.6281,0.0,0.1216,0.0,0.0552,0.0,0.995
15-2051.01,Business Intelligence Analysts,0.8313,17,0.8674,0.0,0.3243,0.0,0.0,0.2288,0.0,0.0,0.0,0.194,0.2529,0.993
15-1243.01,Data Warehousing Specialists,0.828,18,1.0,0.0,0.1176,0.0,0.119,0.0472,0.0,0.0505,0.0,0.0,0.6657,0.992
43-9111.00,Statistical Assistants,0.8271,14,0.7967,0.0508,0.2312,0.0,0.0,0.3386,0.0,0.0,0.0508,0.1525,0.227,0.991
13-2054.00,Financial Risk Specialists,0.8225,30,0.9333,0.0,0.4667,0.0,0.1,0.1667,0.0,0.0333,0.0,0.1667,0.0667,0.99
43-3071.00,Tellers,0.8204,28,0.9121,0.0,0.5225,0.0,0.0,0.2829,0.0,0.0,0.0,0.1446,0.05,0.989
43-3051.00,Payroll and Timekeeping Clerks,0.8178,21,0.8504,0.0551,0.1737,0.0,0.0,0.6766,0.0,0.0161,0.0551,0.0785,0.0,0.988
29-2072.00,Medical Records Specialists,0.8147,17,0.8824,0.0588,0.0588,0.0,0.0,0.7647,0.0,0.0588,0.0588,0.0,0.0588,0.987
15-1254.00,Web Developers,0.8061,29,0.8598,0.0,0.0636,0.0,0.026,0.1386,0.0,0.0941,0.0,0.1072,0.5705,0.986
15-1242.00,Database Administrators,0.8044,18,0.882,0.0,0.2356,0.0,0.0,0.083,0.0,0.0621,0.0,0.1185,0.5007,0.985
43-9031.00,Desktop Publishers,0.8041,18,0.7527,0.0745,0.1251,0.0,0.0,0.1308,0.0,0.0,0.0745,0.0497,0.62,0.984
15-2051.00,Data Scientists,0.8031,16,0.875,0.0,0.5625,0.0,0.0625,0.0625,0.0,0.0,0.0,0.125,0.1875,0.983
13-1081.01,Logistics Engineers,0.802,30,0.9344,0.0,0.6678,0.0,0.1316,0.0361,0.0,0.0333,0.0,0.0613,0.0698,0.982
13-2099.01,Financial Quantitative Analysts,0.8008,21,0.8453,0.0,0.4354,0.0,0.0,0.0579,0.0,0.0,0.0,0.2173,0.2893,0.98
15-1299.03,Document Management Specialists,0.8003,23,0.9538,0.0,0.1271,0.0,0.0,0.347,0.0,0.0462,0.0,0.0876,0.3921,0.979
13-2031.00,Budget Analysts,0.7973,13,0.8777,0.045,0.5485,0.0,0.0,0.1616,0.0,0.0716,0.0,0.2183,0.0,0.978
15-2021.00,Mathematicians,0.7953,12,0.903,0.0,0.5385,0.0,0.0,0.1858,0.0,0.0,0.0,0.1976,0.0782,0.977
15-1299.02,Geographic Information Systems Technologists and Technicians,0.7945,29,0.8722,0.0,0.2043,0.0,0.1896,0.0449,0.0,0.0643,0.0,0.1987,0.2982,0.976
15-1253.00,Software Quality Assurance Analysts and Testers,0.7927,30,0.8705,0.0,0.1225,0.0,0.0,0.1495,0.0,0.0973,0.0,0.1611,0.4696,0.975
43-9041.00,Insurance Claims and Policy Processing Clerks,0.7918,25,0.7499,0.0531,0.2972,0.0,0.0,0.3131,0.0,0.0,0.0531,0.2174,0.1191,0.974
15-1255.00,Web and Digital Interface Designers,0.7903,30,0.7333,0.0,0.0333,0.0,0.1333,0.1333,0.0,0.1,0.0,0.1333,0.4667,0.973
43-4131.00,Loan Interviewers and Clerks,0.7899,18,0.6878,0.0,0.2381,0.0,0.0,0.4888,0.0,0.0,0.0,0.2731,0.0,0.972
13-1081.02,Logistics Analysts,0.7896,31,0.8414,0.0,0.3588,0.0,0.0,0.4628,0.0,0.0475,0.0,0.0853,0.0456,0.971
15-1243.00,Database Architects,0.7886,25,0.8469,0.0,0.1906,0.0,0.0,0.0914,0.0,0.0421,0.0,0.1034,0.5725,0.97
13-2011.00,Accountants and Auditors,0.7877,29,0.7575,0.0,0.6106,0.0,0.0,0.1483,0.0,0.0675,0.0,0.14,0.0336,0.969
23-2011.00,Paralegals and Legal Assistants,0.7867,12,0.7466,0.0494,0.1413,0.0,0.0,0.6354,0.0,0.0684,0.0,0.1549,0.0,0.967
27-3043.05,"Poets, Lyricists and Creative Writers",0.7854,16,0.7037,0.0424,0.0,0.0,0.5613,0.2541,0.0,0.0,0.0,0.1846,0.0,0.966
13-1199.04,Business Continuity Planners,0.7851,21,0.8893,0.0,0.3322,0.0,0.3246,0.2427,0.0,0.0,0.0,0.052,0.0486,0.965
41-9041.00,Telemarketers,0.7839,12,0.6342,0.0,0.064,0.0,0.0721,0.3826,0.0,0.0,0.0,0.4812,0.0,0.964
15-2041.00,Statisticians,0.7826,19,0.8581,0.0,0.5124,0.0,0.1719,0.0417,0.0,0.0346,0.0,0.1072,0.1322,0.963
27-3043.00,Writers and Authors,0.7802,20,0.7603,0.0412,0.0,0.0,0.4947,0.2728,0.0,0.0,0.0,0.2326,0.0,0.962
27-3092.00,Court Reporters and Simultaneous Captioners,0.7802,14,0.7764,0.0,0.1606,0.0,0.0,0.4698,0.0,0.0,0.0638,0.2474,0.0584,0.961
27-3091.00,Interpreters and Translators,0.7771,17,0.8354,0.0927,0.1238,0.0,0.0,0.283,0.0,0.0,0.0927,0.5006,0.0,0.96
43-5011.01,Freight Forwarders,0.7761,31,0.807,0.0,0.352,0.0,0.0,0.3404,0.0,0.0695,0.0,0.238,0.0,0.959
43-9081.00,Proofreaders and Copy Markers,0.7756,11,0.8144,0.0,0.5477,0.0,0.0,0.1949,0.0,0.0928,0.0,0.1646,0.0,0.958
13-1199.06,Online Merchants,0.7753,34,0.8706,0.0283,0.1606,0.0,0.277,0.3846,0.0,0.0,0.0283,0.1279,0.0216,0.957
41-2012.00,Gambling Change Persons and Booth Cashiers,0.7745,13,0.7949,0.0486,0.2943,0.0,0.0,0.5007,0.0,0.0,0.1445,0.0606,0.0,0.956
13-2023.00,Appraisers and Assessors of Real Estate,0.7734,28,0.9704,0.0296,0.6307,0.0,0.0772,0.2138,0.0,0.0,0.0,0.0667,0.0115,0.954
15-2099.01,Bioinformatics Technicians,0.7726,19,0.7416,0.0,0.1818,0.0,0.0,0.1743,0.0,0.0,0.0,0.2187,0.4253,0.953
15-1299.01,Web Administrators,0.7712,35,0.8473,0.0169,0.165,0.0,0.0606,0.1177,0.0,0.1204,0.0442,0.1174,0.3747,0.952
15-2041.01,Biostatisticians,0.7703,25,0.7655,0.0,0.4047,0.0,0.1571,0.1116,0.0,0.0811,0.0,0.1678,0.0777,0.951
13-1161.00,Market Research Analysts and Marketing Specialists,0.7702,13,0.7825,0.0,0.4761,0.0,0.0598,0.1639,0.0,0.1469,0.0,0.1533,0.0,0.95
15-1231.00,Computer Network Support Specialists,0.77,26,0.9247,0.0417,0.0854,0.0,0.0,0.2737,0.0,0.0,0.0417,0.0748,0.5244,0.949
43-4021.00,Correspondence Clerks,0.7678,17,0.7873,0.1593,0.2142,0.0,0.0,0.516,0.0,0.0,0.1593,0.1104,0.0,0.948
13-2071.00,Credit Counselors,0.7677,23,0.8722,0.0,0.2162,0.0,0.1847,0.1137,0.0,0.0,0.0,0.4855,0.0,0.947
13-1041.07,Regulatory Affairs Specialists,0.7653,30,0.7439,0.0,0.3068,0.0,0.0,0.2906,0.0,0.2254,0.0,0.1772,0.0,0.946
15-1211.01,Health Informatics Specialists,0.7643,17,0.8134,0.0,0.2499,0.0,0.053,0.0558,0.0,0.0,0.0,0.2397,0.4016,0.945
41-3011.00,Advertising Sales Agents,0.7633,20,0.8542,0.0,0.2143,0.0,0.3374,0.2913,0.0,0.0,0.0,0.1571,0.0,0.944
19-2042.00,"Geoscientists, Except Hydrologists and Geographers",0.7627,32,0.7913,0.0,0.3989,0.0,0.1625,0.2865,0.0,0.0163,0.0,0.1127,0.0231,0.943
19-1029.01,Bioinformatics Scientists,0.7622,20,0.8069,0.0,0.0557,0.0,0.0,0.1432,0.0,0.0979,0.0,0.2381,0.4651,0.941
13-2072.00,Loan Officers,0.7614,30,0.7474,0.0,0.3149,0.0,0.0695,0.2021,0.0,0.1276,0.0,0.2858,0.0,0.94
13-1051.00,Cost Estimators,0.7607,14,0.7362,0.0,0.5424,0.0,0.0,0.1638,0.0,0.1384,0.0,0.08,0.0754,0.939
27-3041.00,Editors,0.7604,21,0.6628,0.0,0.0712,0.0,0.1923,0.3994,0.0,0.2505,0.0,0.0867,0.0,0.938
41-3041.00,Travel Agents,0.7588,8,0.7644,0.0,0.1323,0.0,0.0,0.6321,0.0,0.0,0.0,0.2356,0.0,0.937
13-1199.05,Sustainability Specialists,0.7584,14,0.7232,0.0,0.1573,0.0,0.2192,0.4727,0.0,0.0754,0.0,0.0754,0.0,0.936
15-1251.00,Computer Programmers,0.7575,17,0.7019,0.0,0.0,0.0,0.061,0.1246,0.0,0.2083,0.0,0.0899,0.5163,0.935
15-1211.00,Computer Systems Analysts,0.7556,22,0.8322,0.0,0.2481,0.0,0.0376,0.1152,0.0,0.0324,0.0,0.24,0.3267,0.934
15-2051.02,Clinical Data Managers,0.7556,21,0.732,0.0,0.3648,0.0,0.0,0.1409,0.0,0.0847,0.0,0.2257,0.1839,0.933
43-4041.00,"Credit Authorizers, Checkers, and Clerks",0.7552,16,0.7796,0.0594,0.2388,0.0,0.0,0.5408,0.0,0.0,0.0594,0.161,0.0,0.932
41-3091.00,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",0.755,15,0.7333,0.0,0.2,0.0,0.0667,0.2667,0.0,0.0,0.0,0.4667,0.0,0.931
