O*NET-SOC Code,Title,original,text,text_weight_share,text_delta,combined,combined_weight_share,combined_delta,soc6
31-9094.00,Medical Transcriptionists,0.8893,0.8893,0.0,0.0,0.8893,0.0,0.0,31-9094
23-2093.00,"Title Examiners, Abstractors, and Searchers",0.8437,0.8437,0.0,0.0,0.8437,0.0,0.0,23-2093
13-2041.00,Credit Analysts,0.8432,0.8432,0.0,0.0,0.8432,0.0,0.0,13-2041
43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks",0.8418,0.7763,0.1126785995947882,-0.0655,0.7763,0.1126785995947882,-0.0655,43-3031
13-2082.00,Tax Preparers,0.8359,0.8359,0.0,0.0,0.8359,0.0,0.0,13-2082
27-3042.00,Technical Writers,0.8357,0.8357,0.0,0.0,0.8357,0.0,0.0,27-3042
15-2051.01,Business Intelligence Analysts,0.8313,0.8313,0.0,0.0,0.8313,0.0,0.0,15-2051
15-1243.01,Data Warehousing Specialists,0.828,0.7841,0.05489969303314302,-0.04389999999999994,0.7841,0.05489969303314302,-0.04389999999999994,15-1243
43-9111.00,Statistical Assistants,0.8271,0.8271,0.0,0.0,0.8271,0.0,0.0,43-9111
13-2054.00,Financial Risk Specialists,0.8225,0.8225,0.0,0.0,0.8225,0.0,0.0,13-2054
43-3071.00,Tellers,0.8204,0.7959,0.03497984058087053,-0.024499999999999966,0.7959,0.03497984058087053,-0.024499999999999966,43-3071
43-3051.00,Payroll and Timekeeping Clerks,0.8178,0.7822,0.041817143346625896,-0.035599999999999965,0.7822,0.041817143346625896,-0.035599999999999965,43-3051
29-2072.00,Medical Records Specialists,0.8147,0.7618,0.058823529411764705,-0.05289999999999995,0.7529,0.11764705882352941,-0.061799999999999966,29-2072
15-1254.00,Web Developers,0.8061,0.76,0.05628745919518975,-0.04610000000000003,0.76,0.05628745919518975,-0.04610000000000003,15-1254
15-1242.00,Database Administrators,0.8044,0.7582,0.057707193712041235,-0.04620000000000002,0.7582,0.057707193712041235,-0.04620000000000002,15-1242
43-9031.00,Desktop Publishers,0.8041,0.7205,0.09116685955501289,-0.08360000000000001,0.713,0.16565161325102792,-0.09110000000000007,43-9031
15-2051.00,Data Scientists,0.8031,0.6437,0.1875,-0.1594,0.6437,0.1875,-0.1594,15-2051
13-1081.01,Logistics Engineers,0.802,0.7699,0.03571794085484149,-0.03210000000000002,0.7699,0.03571794085484149,-0.03210000000000002,13-1081
13-2099.01,Financial Quantitative Analysts,0.8008,0.6873,0.12610440492996844,-0.11349999999999993,0.6873,0.12610440492996844,-0.11349999999999993,13-2099
15-1299.03,Document Management Specialists,0.8003,0.7415,0.07111714469699394,-0.05879999999999996,0.7415,0.07111714469699394,-0.05879999999999996,15-1299
13-2031.00,Budget Analysts,0.7973,0.7973,0.0,0.0,0.7973,0.0,0.0,13-2031
15-2021.00,Mathematicians,0.7953,0.5811,0.2520616666075084,-0.21420000000000006,0.5811,0.2520616666075084,-0.21420000000000006,15-2021
15-1299.02,Geographic Information Systems Technologists and Technicians,0.7945,0.7757,0.0234247786293201,-0.01880000000000004,0.7757,0.0234247786293201,-0.01880000000000004,15-1299
15-1253.00,Software Quality Assurance Analysts and Testers,0.7927,0.7463,0.06636937385181178,-0.0464,0.7463,0.06636937385181178,-0.0464,15-1253
43-9041.00,Insurance Claims and Policy Processing Clerks,0.7918,0.7557,0.045198581350079134,-0.03609999999999991,0.7557,0.045198581350079134,-0.03609999999999991,43-9041
15-1255.00,Web and Digital Interface Designers,0.7903,0.7336,0.06666666666666667,-0.05669999999999997,0.7336,0.06666666666666667,-0.05669999999999997,15-1255
43-4131.00,Loan Interviewers and Clerks,0.7899,0.7272,0.06602356892323843,-0.06270000000000009,0.7272,0.06602356892323843,-0.06270000000000009,43-4131
13-1081.02,Logistics Analysts,0.7896,0.7459,0.05140262867553609,-0.04369999999999996,0.7459,0.05140262867553609,-0.04369999999999996,13-1081
15-1243.00,Database Architects,0.7886,0.7262,0.07794747424785345,-0.06240000000000001,0.7262,0.07794747424785345,-0.06240000000000001,15-1243
13-2011.00,Accountants and Auditors,0.7877,0.7877,0.0,0.0,0.7877,0.0,0.0,13-2011
23-2011.00,Paralegals and Legal Assistants,0.7867,0.7867,0.0,0.0,0.7867,0.0,0.0,23-2011
27-3043.05,"Poets, Lyricists and Creative Writers",0.7854,0.7854,0.0,0.0,0.7854,0.0,0.0,27-3043
13-1199.04,Business Continuity Planners,0.7851,0.7851,0.0,0.0,0.7851,0.0,0.0,13-1199
41-9041.00,Telemarketers,0.7839,0.7839,0.0,0.0,0.7839,0.0,0.0,41-9041
15-2041.00,Statisticians,0.7826,0.7087,0.09814870455026489,-0.07389999999999997,0.7087,0.09814870455026489,-0.07389999999999997,15-2041
27-3043.00,Writers and Authors,0.7802,0.7802,0.0,0.0,0.7802,0.0,0.0,27-3043
27-3092.00,Court Reporters and Simultaneous Captioners,0.7802,0.7802,0.0,0.0,0.7802,0.0,0.0,27-3092
