O*NET-SOC Code,Title,Task ID,Task,Task Type,task_exposure,n_dwas,channel,importance,relevance,weight,baseline_exposure,narrow_flag,narrow_exposure,broad_flag,broad_exposure,matched_rule_ids,matched_text,text_flag,combined_flag,text_exposure,combined_exposure
11-1011.00,Chief Executives,8823,"Direct or coordinate an organization's financial or budget activities to fund operations, maximize investments, or increase efficiency.",Core,0.7,1,MGMT,4.52,74.44,3.3646879999999992,0.7,False,0.7,False,0.7,,,False,False,0.7,0.7
11-1011.00,Chief Executives,8824,"Confer with board members, organization officials, or staff members to discuss issues, coordinate activities, or resolve problems.",Core,0.55,1,SOCL,4.32,81.71,3.5298719999999997,0.55,False,0.55,False,0.55,,,False,False,0.55,0.55
11-1011.00,Chief Executives,8827,"Prepare budgets for approval, including those for funding or implementation of programs.",Core,0.7,1,MGMT,4.3,93.41,4.016629999999999,0.7,False,0.7,False,0.7,,,False,False,0.7,0.7
11-1011.00,Chief Executives,8826,"Direct, plan, or implement policies, objectives, or activities of organizations or businesses to ensure continuing operations, to maximize returns on investments, or to increase productivity.",Core,0.6,3,MGMT,4.24,97.79,4.146296,0.6,False,0.6,False,0.6,,,False,False,0.6,0.6
11-1011.00,Chief Executives,8834,"Prepare or present reports concerning activities, expenses, budgets, government statutes or rulings, or other items affecting businesses or program services.",Core,0.925,2,INFO,4.17,92.92,3.874764,0.925,False,0.925,False,0.925,,,False,False,0.925,0.925
11-1011.00,Chief Executives,8836,Implement corrective action plans to solve organizational or departmental problems.,Core,0.5,1,MGMT,4.14,88.43,3.661002,0.5,False,0.5,False,0.5,,,False,False,0.5,0.5
11-1011.00,Chief Executives,8825,"Analyze operations to evaluate performance of a company or its staff in meeting objectives or to determine areas of potential cost reduction, program improvement, or policy change.",Core,0.85,1,ANLY,4.13,98.57,4.0709409999999995,0.85,False,0.85,False,0.85,,,False,False,0.85,0.85
11-1011.00,Chief Executives,8828,"Direct or coordinate activities of businesses or departments concerned with production, pricing, sales, or distribution of products.",Core,0.5,2,MGMT,4.13,70.43,2.908759,0.5,False,0.5,False,0.5,,,False,False,0.5,0.5
11-1011.00,Chief Executives,8832,"Direct human resources activities, including the approval of human resource plans or activities, the selection of directors or other high-level staff, or establishment or organization of major departments.",Core,0.55,1,MGMT,4.13,75.74,3.128062,0.55,False,0.55,False,0.55,,,False,False,0.55,0.55
11-1011.00,Chief Executives,8831,Appoint department heads or managers and assign or delegate responsibilities to them.,Core,0.575,2,MGMT,4.09,93.14,3.809426,0.575,False,0.575,False,0.575,,,False,False,0.575,0.575
11-1011.00,Chief Executives,8843,"Interpret and explain policies, rules, regulations, or laws to organizations, government or corporate officials, or individuals.",Core,0.8,1,SOCL,4.09,96.73,3.956257,0.8,False,0.8,False,0.8,,,False,False,0.8,0.8
11-1011.00,Chief Executives,8830,Review reports submitted by staff members to recommend approval or to suggest changes.,Core,0.85,1,ANLY,4.07,96.42,3.9242940000000006,0.85,False,0.85,False,0.85,,,False,False,0.85,0.85
11-1011.00,Chief Executives,8829,"Negotiate or approve contracts or agreements with suppliers, distributors, federal or state agencies, or other organizational entities.",Core,0.5,1,SOCL,4.06,80.19,3.255714,0.5,False,0.5,False,0.5,,,False,False,0.5,0.5
11-1011.00,Chief Executives,8835,Establish departmental responsibilities and coordinate functions among departments and sites.,Core,0.65,2,MGMT,3.98,87.04,3.4641920000000006,0.65,False,0.65,False,0.65,,,False,False,0.65,0.65
11-1011.00,Chief Executives,8839,"Deliver speeches, write articles, or present information at meetings or conventions to promote services, exchange ideas, or accomplish objectives.",Core,0.7,1,SOCL,3.94,92.7,3.65238,0.7,False,0.7,False,0.7,,,False,False,0.7,0.7
11-1011.00,Chief Executives,8840,"Serve as liaisons between organizations, shareholders, and outside organizations.",Core,0.55,1,SOCL,3.92,68.36,2.6797120000000003,0.55,False,0.55,False,0.55,,,False,False,0.55,0.55
11-1011.00,Chief Executives,8837,"Coordinate the development or implementation of budgetary control systems, recordkeeping systems, or other administrative control processes.",Core,0.7,1,MGMT,3.8,72.17,2.74246,0.7,False,0.7,False,0.7,,,False,False,0.7,0.7
11-1011.00,Chief Executives,8833,"Preside over, or serve on, boards of directors, management committees, or other governing boards.",Core,0.4,1,MGMT,3.79,74.11,2.808769,0.4,False,0.4,False,0.4,,,False,False,0.4,0.4
